# Which corpus groups exercise each language-spec section. Judgment mapping,
# made by reading each section and confirming against fixtures; regenerate by
# re-reading, not by name-matching. NONE is a finding. Read by tools/progress.py.
spec_file	heading	class	pass_groups	fail_groups	note
numeric_values	Literal landing and destinations	core	arithmetic,expressions,float,constraints	arithmetic,float,constraints,expressions,modules	pass: arithmetic/anonymous_rational_integer_landing (7 / 2 * 2 lands 7), suffix_boundary_magnitudes_exit, expressions/integer_literal_suffix, float_literal_suffix, float/suffix_f32_single_rounding_exit, constraints/anonymous_integer_local_landing; fail: arithmetic/fractional_integer_landing, suffix_type_disagrees_rejected, anonymous_remainder_rejected, u64_literal_into_i64_rejected, float/suffix_format_disagrees_rejected, constraints/anonymous_integer_local_range, expressions/real_literal_suffix_retired, modules/match_initializer_fraction. Fractional-intermediate warning untested
numeric_values	Arithmetic and comparisons	core	arithmetic,expressions,operators,range	arithmetic,expressions,constraints,ranges	pass: arithmetic/runtime_saturating_domain_exit, wrapping_signed_divide_min_by_neg_one, runtime_shift_count_domain_exit, typed_integer_remainder, runtime_signed_modulo_shift_edges_exit, expressions/arithmetic_domain_trapping_overflow, operators/runtime_bitwise_operators_exit; fail: arithmetic/divide_by_zero_rejected, exact_shift_count_unproven, bitwise_result_overflow, narrowing_wide_local_unproven, expressions/arithmetic_domain_mixed, mismatched_width_bitwise_rejected, ranges/exact_range_unproven_local_rejected
numeric_values	Floating formats and operations	typical	float,arithmetic,expressions	float,arithmetic,expressions	pass: float/runtime_policy_adapter_matrix_exit, runtime_total_order_satisfiers_exit, named_provider_fused_multiply_add_exit, runtime_named_float_to_integer_conversion_exit, foreign_control_state_restore (controls restored), arithmetic/runtime_float_nan_comparison_exit, expressions/match_float_patterns; fail: float/named_float_to_integer_wrapping_rejected, exclusive_float_range_endpoint_rejected, named_argument_format_rejected, arithmetic/float_wrapping_domain_rejected, float_to_int_exact_unproven, expressions/float_bitwise_rejected, match_float_equality_requires
numeric_values	Collection bounds	core	slices,ranges,collections	slices,ranges	pass: slices/signed_index_and_range_lower_bounds, guarded_slice_parameter_bounded_subslice_compile, ranges/sum_payload_range_narrowed_exit, collections/runtime_nested_array_const_index_exit (per-level extents); fail: slices/signed_slice_range_upper_only, signed_array_range_upper_only, dynamic_subslice_start_unproven, ranges/index_signed_guard_below_zero
numeric_values	Status	meta	arithmetic	arithmetic	pass: const_fold_wrapping_narrow_exit, const_fold_saturating_narrow_exit (landed legs); fail: trapping_shift_requires_realization (refused leg). Documents the realization frontier, not a language rule
ownership	Property declarations	core	ownership,generics,data	data,generics,ownership	pass: ownership/linear_property_surface (`[linear]`, `T [linear]`), generics/property_bound_type_parameter (`T [copy]`), data/property_carry_declared; fail: data/property_copy_violation, property_unknown, property_sized_declared (derived, not authored), generics/property_bound_violated_at_instantiation, property_bound_missing_on_field, ownership/copy_linear_conflict
ownership	Establishment and erasure	core	ownership	ownership,relevance	pass: linear_zero_storage_unestablished (ZII mints no obligation), conditional_linear_sum (`Empty | Live`), linear_assignment_establishes; fail: linear_zero_storage_not_established, conditional_linear_zero_storage_not_established, relevance/erased_local_runtime_read
ownership	Paths and control flow	core	ownership	ownership,collections	pass: linear_branch_reconciliation, linear_returned_obligation, linear_ambiguous_state_result_mapping, conditional_linear_payload_extraction, linear_transparent_record_frontier; fail: linear_second_transfer, linear_mixed_branch_treatment, linear_scope_loss, linear_transparent_record_duplicate_move, collections/vec_duplicate_cleanup. Process-exit frontier non-merge untested
ownership	Borrows and aliases	core	borrows,borrow,parameters	borrows,borrow	pass: borrows/borrow_unique, borrow_disjoint_fixed_index_mut, borrow/write_only_record_field_replace (`&write`), write_only_byte_range, parameters/shared_and_mut_borrow_params_compile; fail: borrows/borrow_duplicate_mut, borrow_mut_and_read, borrow_local_alias_active, borrow/write_only_observation, write_only_implicit_attenuation, write_only_mutable_widening
ownership	Borrowed-storage invariant windows	typical	NONE	ownership	fail: borrowed_storage_early_return_hole, _missing_repair_on_branch, _stale_read_in_hole, _repeated_extraction, _boundary_call, _contained_loan, _recoverable_failure. No pass fixture demonstrates a move-out-then-restore closing a window (blockexec/blocking_executor_linear_slot_swap_compile replaces the whole sum precisely to avoid one)
ownership	Consumers and cleanup	typical	drops,ownership	drops,ownership,collections	pass: drops/core_drop_owner_hook, cleanup_machine_drop_shape, nonempty_drop_body, drop_ensures_body, ownership/linear_transfer_and_consume (bare `self` consumer), linear_fresh_state_call_result_handoff; fail: drops/authored_cleanup_forwarded_reference_rejected, drop_ensures_unlocked_predicate, drop_nonblocking_effect_unknown, ownership/linear_live_overwrite, collections/vec_duplicate_cleanup. `move self` spelling and task abandonment untested
ownership	Construction and disposal order	typical	NONE	NONE	No fixture observes reverse-declaration cleanup order, partial-construction disposal order, or fixed-array residual cleanup order; drops/transfer_cleanup_into_state only transfers an obligation across a transition
ownership	Content and carry	advanced	core,data,effects	core	pass: core/content_conservation_contract (Content<A>::project, separate), content_projection_owner, content_retained_custody_round_trip, carry_permission_provider_adapter, data/property_carry_declared, effects/structural_callback_reach; fail: core/content_conservation_unqualified_place, content_projection_duplicate, content_projection_foreign_owner, content_retained_custody_from_borrow, carry_permission_adapter_direct_call_does_not_grant
patterns	Pattern subjects and bindings	core	control_flow,data,expressions	control_flow,data	pass: control_flow/arm_pattern_rest_optout_exit (`..`, `as`, `as _`, `field: value`), record_pattern_arm_rename_guard_exit, runtime_tuple_case_destructure_exit, data/record_pattern_bind_all_exit, expressions/owned_match_record_values; fail: control_flow/arm_pattern_missing_field, arm_pattern_rest_unknown_field, arm_pattern_waived_field_use, tuple_destructure_duplicate_binding_rejected, data/record_pattern_unknown_field
patterns	Coverage and domain tests	core	control_flow,data,domains,versioning	control_flow,data,domains	pass: control_flow/runtime_tuple_matrix_exhaustive_exit, runtime_sum_tuple_matrix_exhaustive_exit, data/match_exhaustive_by_cases, match_exhaustive_by_case_union_domain, match_default_satisfies_exhaustiveness, domains/match_domain_patterns (first-match order), versioning/versioned_match_all_eras_exhaustive; fail: control_flow/sum_tuple_matrix_uncovered_rejected, tuple_transition_uncovered_rejected, transition_fall_through_value_match, data/match_nonexhaustive_cases, match_predicate_domain_needs_default, domains/domain_pattern_payload_binding_rejected
process_exit	Canonical boundary and authority	core	host	NONE	pass: host/process_exit_i32_status (Service<ProcessExit>, exact canonical requirement); no fail fixture rejects exit without domain-bound authority or a same-spelled user `exit_process`
process_exit	Progress and conditional calls	meta	host	NONE	pass: host/process_exit_i32_status, process_exit_i32_status_mapped (`terminates` with a conditional exit branch beside a returning branch); no fail fixture
process_exit	Abandonment and survivors	meta	NONE	NONE	No fixture exits with an outstanding linear obligation to pin abandonment-without-merge; every ownership fixture consumes before exit_process
process_exit	Graceful completion and cleanup	typical	NONE	NONE	No fixture pins that a cleanup hook may not reach ProcessExit or that entry return must settle activations; drops/drop_nonblocking_effect_unknown only rejects an unknown service name
process_exit	Verification and implementation boundary	meta	host	NONE	pass: host/runtime_console_exit_i32_status (i32 status normalized to the OS status), process_exit_i32_status_ordered; no fail fixture (fail/host/terminal_host_call_value is a native-lowering wall, not exit semantics)
reflection	Semantic descriptions	advanced	NONE	NONE	No reflect::schema / TypeSchema / type_key in the corpus; the only `schema` identifiers are unrelated machine names in proofs/higher_order_machine_schema_compile
reflection	Schema and layout	advanced	NONE	NONE	layouts group exercises layout::Schema/Plan only (runtime_plan_laid_*); no reflect::TypeSchema-to-layout correspondence fixture
reflection	Access owner and delegation	advanced	NONE	NONE	No reflection surface in the corpus
reflection	Typed runtime visitation	advanced	NONE	NONE	No visit_runtime_fields fixture
reflection	Sum coverage	advanced	NONE	NONE	No reflection visitor fixture
reflection	Explicit operation selection	advanced	NONE	NONE	No selection-receiver fixture; the only `select<` is borrow/explicit_aggregate_lifetime_selects_source's machine name
reflection	Selection evaluation and retained results	advanced	NONE	NONE	No reflection policy evaluation fixture
reflection	Contracts, recursion, and resources	advanced	NONE	NONE	No reflection fixture; tail-position recursion is covered under termination row 116
reflection	Runtime descriptions and Placed access	advanced	NONE	NONE	No reflect::metadata fixture; core/placement_vocabulary_core_surface covers placed-access vocabulary only, not reflection
reflection	Construction and editing	advanced	NONE	NONE	No reflection fixture
reflection	Embedded inspection and edits	advanced	NONE	NONE	No embedding/reflection fixture
reflection	Compiler ownership	meta	NONE	NONE	No reflection fixture
state_contracts	Bindings and arrivals	core	control_flow,constraints,dependent	control_flow,constraints,dependent	pass: control_flow/entry_parameter_explicit_state_forwarding, entry_local_member_access_in_nested_state, constraints/state_argument_value_snapshots (scalar snapshots survive later argument writes), dependent/state_arrival_contract_guarded_compile; fail: control_flow/implicit_entry_{local,parameter,receiver,contract,write}_capture (no recovery by spelling), constraints/state_argument_value_reread, transition_mutated_argument, dependent/state_arrival_contract_unproven_rejected
state_contracts	Mutation and subject identity	core	dependent,domains,constraints,range	arithmetic,dependent,domains,range,constraints,termination	pass: dependent/call_frame_preserves_disjoint_fact_compile, domains/call_requires_preserved_across_disjoint_mutation, constraints/computed_local_value_transport, range/runtime_guarded_copy_narrowing_exit; fail: arithmetic/stale_named_state_call_bound, guard_invalidated_by_prior_write_rejected, dependent/*_invalidates_written_fact_rejected, domains/*_invalidated_by_mutation, range/guarded_copy_stale_after_write, constraints/computed_local_value_invalidated, termination/rank_range_subject_intervening_write
state_contracts	Returns and proof use	core	constraints,domains,proofs	constraints,domains,proofs,calls	pass: constraints/selected_arithmetic_return_ensures, scalar_ensures_field_contract_surface, guarded_integer_return_landing, domains/exit_ensures_preserved_from_entry, proofs/accumulator_guarantee_exit; fail: constraints/selected_arithmetic_return_wrong_ensures, anonymous_integer_return_wrong_ensures, domains/exit_ensures_unproven, proofs/structural_ensures_unjudged_rejected, calls/terminal_return_type_mismatch_rejected
termination	Published guarantees and private witnesses	meta	termination	termination	pass: inherited_requirement_guarantee_compile (`terminates;` on the requirement, witness on the satisfier), inherited_acyclic_requirement_guarantee_compile; fail: requirement_witness_rejected, retired_block_form, standalone_decreases_retired, subtraction_spelling_retired, terminates_block_form_retired. `pub measure` rejection and cross-package recursion untested
termination	Ranking	typical	termination,control_flow,calls	termination	pass: custom_ranking_order_compile, joint_lexicographic_machine_call_cycle_compile, default_order_{slice_length,nat_countdown,bounded_distance}_compile, increasing_cursor_rank_range, control_flow/termination_countdown_compile, calls/mutual_cycle_tail_admitted_exit; fail: custom_ranking_order_{unknown,wrong_arity,non_numeric}, default_order_ambiguous, increasing_unbounded_rejected, bounded_distance_inverted, mutual_recursion_no_decrease, lexicographic_component_zero_step_rejected
termination	Calls and productive loops	core	calls,termination,control_flow,comptime	calls,termination,control_flow	pass: calls/runtime_measured_tail_recursion_exit, runtime_terminal_tail_recursion_exit, termination/runtime_shrinking_slice_recursion_exit, control_flow/runtime_loop_patterns_exit (productive self-transition loop, no promise), comptime/runtime_const_measured_recursion_exit; fail: calls/nontail_value_self_call_rejected, machine_call_cycle_rejected, statement_tail_self_call_rejected, termination/runtime_non_tail_joint_machine_cycle, control_flow/termination_cycle_missing_decreases
termination	Ranked callees on projected receivers	advanced	termination	termination	pass: ranked_callee_projected_receiver_compile (`self.cursor.step(...)` keeps the projected referent as `self`), measure_borrowed_projection; fail: measure_borrowed_projection_rebound, measure_borrowed_projection_range_endpoint_changed
termination	Opaque progress profiles	advanced	progress	proofs	pass: progress/provider_receiver_progress_installation (`satisfies ProgressProfile established by`, `requires self in WeakFair`); fail: proofs/quotient_lift_unproved_termination_rejected (progress-conditional termination is not unconditional)
termination	Subject preservation	advanced	termination	termination	pass: stored_reference_endpoint_arrivals, measure_borrowed_projection_range, rank_range_record_stepped_copy, rank_range_state_call_invariant; fail: stored_reference_endpoint_reseat, rank_range_call_stepped_copy_stale, rank_range_record_stepped_copy_divergent, rank_range_state_call_carried_increase, measure_nested_projection_range_limit_written
termination	Composition and limits	meta	progress	NONE	PARTIAL: progress/provider_receiver_progress_installation composes the profile through build.select_provider + roots.bind; no fixture pins receipt/route rebinding rules or logical-work limits
